순위,상품명,판매가,작가,출판사,출시일자,분야
1,불편한 편의점(벚꽃 에디션),"12,600",김호연,나무옆의자,20210420,소설
2,하얼빈,"14,400",김훈,문학동네,20220803,소설
3,그리움은 아무에게나 생기지 않습니다,"13,500",박근혜,가로세로연구소,20211230,정치/사회
4,작별인사,"12,600",김영하,복복서가,20220502,소설
5,부자 아빠 가난한 아빠 1(20주년 특별 기념판),"15,300",로버트 기요사키,민음인,20221028,경제/경영
6,달러구트 꿈 백화점,"12,420",이미예,팩토리나인,20200708,소설
7,이어령의 마지막 수업,"14,850",김지수 외,열림원,20211028,인문
8,물고기는 존재하지 않는다,"15,300",룰루 밀러,곰출판,20211217,과학
9,"어서 오세요, 휴남동 서점입니다","13,500",황보름,클레이하우스,20220117,소설
10,세상의 마지막 기차역(리커버 에디션),"12,600",무라세 다케시,모모,20220509,소설
11,달러구트 꿈 백화점 2(레인보우 에디션),"12,420",이미예,팩토리나인,20210727,소설
12,웰씽킹(WEALTHINKING),"14,400",켈리 최,다산북스,20211110,자기계발
13,기분을 관리하면 인생이 관리된다,"15,840",김다슬,클라우디아,20220412,시/에세이
14,불편한 편의점 2(단풍 에디션),"12,600",김호연,나무옆의자,20220810,소설
15,트렌드 코리아 2023,"17,100",김난도 외,미래의창,20221005,경제/경영
16,마음의 법칙,"14,400",폴커 키츠 외,포레스트북스,20220210,인문
17,해커스 토익 기출보카 TOEIC VOCA(토익보카) 단어장,"11,610",David Cho,해커스어학연구소,20220314,외국어
18,오은영의 화해,"14,400",오은영,코리아닷컴,20190110,자기계발
19,데일 카네기 인간관계론,"10,350",데일 카네기,현대지성,20191007,자기계발
20,파친코 1,"14,220",이민진,인플루엔셜,20220805,소설
21,미드나잇 라이브러리(평행우주 에디션),"14,220",매트 헤이그,인플루엔셜,20210428,소설
22,돈의 속성(300쇄 리커버에디션),"16,020",김승호,스노우폭스북스,20200615,경제/경영
23,흔한남매 10,"12,150",흔한남매 ,미래엔아이세움,20220428,어린이(초등)
24,오십에 읽는 논어,"14,400",최종엽,유노북스,20211103,인문
25,부의 추월차선(10주년 스페셜 에디션),"15,750",엠제이 드마코,토트,20220204,경제/경영
26,나는 당신이 행복했으면 좋겠습니다,"12,420",박찬위,하이스트,20211125,시/에세이
27,데일 카네기 자기관리론(1948년 초판 완역본),"10,350",데일 카네기,현대지성,20210113,자기계발
28,원씽(The One Thing)(리커버 특별판),"12,600",게리 켈러 외,비즈니스북스,20130830,자기계발
29,운명을 바꾸는 부동산 투자 수업: 기초편,"15,120",정태익,리더스북,20220322,경제/경영
30,인간 실격,"8,100",다자이 오사무,민음사,20120410,소설
31,인플레이션에서 살아남기,"16,920",오건영,페이지2북스,20220523,경제/경영
32,소크라테스 익스프레스,"16,200",에릭 와이너,어크로스,20210428,인문
33,"돈, 뜨겁게 사랑하고 차갑게 다루어라","10,800",앙드레 코스톨라니,미래의창,20150930,경제/경영
34,"오늘 밤, 세계에서 이 사랑이 사라진다 해도","12,600",이치조 미사키,모모,20210628,소설
35,돈의 심리학,"17,820",모건 하우절,인플루엔셜,20210113,경제/경영
36,파친코 1,"13,050",이민진,문학사상,20180309,소설
37,트렌드 코리아 2022,"16,200",김난도 외,미래의창,20211006,경제/경영
38,아몬드(100만 부 기념 특별판),"10,800",손원평,창비,20220512,소설
39,멘탈을 바꿔야 인생이 바뀐다(10만 부 기념 1주년 리커버),"15,120",박세니,마인드셋(Mindset),20230515,자기계발
40,"굿바이, 이재명","13,500",장영하,지우출판,20211224,정치/사회
41,포켓몬스터 썬&문 포켓몬 전국대도감,"8,550",대원키즈 편집부,대원키즈,20171019,어린이(초등)
42,긴긴밤,"10,350",루리,문학동네,20210203,어린이(초등)
43,헤어질 결심 각본,"13,500",정서경 외,을유문화사,20220805,예술/대중문화
44,변화하는 세계 질서,"34,200",레이 달리오,한빛비즈,20220601,경제/경영
45,아버지의 해방일지,"13,500",정지아,창비,20220902,소설
46,그릿(50만부 판매 기념 리커버 골드에디션),"16,200",앤절라 더크워스,비즈니스북스,20221219,자기계발
47,지구 끝의 온실,"13,500",김초엽,자이언트북스,20210818,소설
48,밝은 밤,"13,050",최은영,문학동네,20210727,소설
49,NFT 레볼루션,"16,200",성소라 외,더퀘스트,20210901,경제/경영
50,가불 선진국,"14,400",조국,메디치미디어,20220325,정치/사회
51,테라피스트,"14,400",B. A. 패리스,모모,20211206,소설
52,"칵테일, 러브, 좀비 (리커버)","9,000",조예은,안전가옥,20200413,소설
53,공정하다는 착각,"16,200",마이클 샌델,와이즈베리,20201201,인문
54,"어느 날, 내 죽음에 네가 들어왔다","13,500",세이카 료겐,모모,20220509,소설
55,나에게 고맙다(30만 부 기념 전면 개정판),"14,400",전승환,북로망스,20220218,시/에세이
56,거꾸로 읽는 세계사,"15,750",유시민,돌베개,20211029,역사/문화
57,잘 살아라 그게 최고의 복수다,"13,500",권민창,마인드셋(Mindset),20220121,자기계발
58,타이탄의 도구들(블랙 에디션),"16,200",팀 페리스,토네이도,20220620,자기계발
59,월급쟁이 부자로 은퇴하라(10만 부 돌파 기념 증보판),"17,820",너나위,알에이치코리아,20220620,경제/경영
60,사피엔스,"24,120",유발 하라리,김영사,20230401,인문
61,꽃을 보듯 너를 본다,"9,900",나태주,지혜,20201130,시/에세이
62,2022 제13회 젊은작가상 수상작품집,"12,600",임솔아 외,문학동네,20220408,소설
63,코스모스,"17,910",칼 세이건,사이언스북스,20100120,과학
64,잘될 수밖에 없는 너에게(10만부 기념 응원 에디션),"14,400",최서영,북로망스,20220818,시/에세이
65,내가 틀릴 수도 있습니다,"14,400",비욘 나티코 린데블라드,다산초당,20220418,인문
66,어떻게 말해줘야 할까,"15,750",오은영,김영사,20201025,가정/육아
67,구의 증명,"7,200",최진영,은행나무,20150330,소설
68,이기적 유전자(리커버:K),"18,000",리처드 도킨스,을유문화사,20230130,과학
69,계속 가보겠습니다,"16,200",임은정,메디치미디어,20220722,정치/사회
70,센 강의 이름 모를 여인,"14,400",기욤 뮈소,밝은세상,20220119,소설
71,최재천의 공부,"14,850",최재천 외,김영사,20220518,인문
72,흔한남매 오해요,"12,150",흔한남매 ,미래엔아이세움,20220303,어린이(초등)
73,총 균 쇠,"25,200",재레드 다이아몬드,문학사상,20051219,역사/문화
74,세븐 테크,"16,200",김미경 외,웅진지식하우스,20220210,경제/경영
75,진짜 쓰는 실무 엑셀,"18,900",오빠두(전진권),제이펍,20220215,컴퓨터/IT
76,윤석열 X파일,"14,400",열린공감TV,열린공감TV,20220204,정치/사회
77,백광,"13,050",렌조 미키히코,모모,20220214,소설
78,포켓몬스터 가라르 도감,"10,800",대원키즈 편집부,대원키즈,20210520,어린이(초등)
79,모순,"11,700",양귀자,쓰다,20130401,소설
80,저주토끼,"13,320",정보라,아작,20220401,소설
81,거의 모든 행동 표현의 영어,"18,000",서영조,사람in,20220310,외국어
82,무엇이 옳은가,"16,020",후안 엔리케스,세계사,20220419,인문
83,데미안,"7,200",헤르만 헤세,민음사,20090120,소설
84,유럽 도시 기행 2,"15,750",유시민,생각의길,20220709,인문
85,당신은 결국 무엇이든 해내는 사람(10만 부 기념 특별 리커버 에디션),"15,300",김상현,필름(Feelm),20220420,시/에세이
86,이상한 과자 가게 전천당 13,"10,800",히로시마 레이코,길벗스쿨,20220124,어린이(초등)
87,럭키 드로우,"14,400",드로우앤드류,다산북스,20220125,자기계발
88,마흔에 읽는 니체(10만 부 양장 리커버 에디션),"14,400",장재형,유노북스,20220901,인문
89,보도 섀퍼의 이기는 습관,"15,300",보도 섀퍼,토네이도,20220318,자기계발
90,햇빛은 찬란하고 인생은 귀하니까요: 밀라논나 이야기,"13,320",장명숙,김영사,20210818,시/에세이
91,백년허리 2: 치료편,"16,650",정선근,언탱글링,20210513,건강
92,나는 장사의 신이다,"15,120",은현장,떠오름(RISE),20211220,경제/경영
93,눈물 한 방울,"14,220",이어령,김영사,20220630,인문
94,나의 MBTI가 궁금하단 마리몽,"14,220",김소나,더모던,20211130,시/에세이
95,설민석의 한국사 대모험 19,"10,800",설민석 외,아이휴먼,20211228,어린이(초등)
96,나의 투자는 새벽 4시에 시작된다,"17,820",유목민,리더스북,20220415,경제/경영
97,흔한남매 과학 탐험대 4: 물질,"12,600",흔한남매 ,주니어김영사,20220228,어린이(초등)
98,여름이 온다,"24,300",이수지,비룡소,20210727,유아(0~7세)
99,딱 2년 안에 무조건 돈 버는 부동산 투자 시크릿,"15,750",김세희(세빛희),비즈니스북스,20211210,경제/경영
100,잘했고 잘하고 있고 잘 될 것이다(스페셜 리미티드 에디션),"13,500",정영욱,부크럼,20210514,시/에세이
101,삶의 격,"14,400",페터 비에리,은행나무,20141029,인문
102,포켓몬 전국 캐릭터 대도감: 다이아몬드 펄,"12,600",학산문화사 편집부,학산문화사,20200825,어린이(초등)
103,부의 인문학(20만부 기념 개정증보판),"15,300",우석,오픈마인드,20220321,경제/경영
104,아직 오지 않은 날들을 위하여,"14,400",파스칼 브뤼크네르,인플루엔셜,20211112,인문
